t,P_two
265,199.1246776848161
266,194.15306133833462
267,186.7933175458351
268,190.42600810531636
269,187.10557320591778
270,193.73244036142597
271,196.00559628851948
272,196.79609508235578
273,197.26087307299366
274,196.6748260235806
275,199.44194469164174
276,196.74478026189087
277,183.4519653462443
278,183.980227998973
279,180.85277347984373
280,171.50348267383544
281,176.80433354214108
282,174.22246367129995
283,162.37232142653812
284,161.86466384509967
285,157.2830045031831
286,145.72949880007
287,147.849246173996
288,140.7159499473437
289,145.59368767540636
290,139.49973437175967
291,146.13387936489104
292,149.02250488444426
293,149.75996608163865
294,144.62784380805888
295,150.77150800880577
296,154.19065002789273
297,151.72995905355398
298,155.67248632392744
299,148.70878366774824
300,140.01917351811426
301,139.37027721292463
302,139.85316011942933
303,142.75864588333332
304,143.20031379788077
305,151.62475825601692
306,142.8622384652412
307,146.7211738003634
308,148.25329001796126
309,157.4619624521369
310,158.31014161645598
311,160.45784425863167
312,172.4169622947077
313,177.82377789203974
314,181.9558713026855
315,180.75686297437315
316,183.14077412857586
317,173.38032913671725
318,169.03309118174053
319,174.773190581268
320,164.08539293625432
321,166.02371613595042
322,167.46784400228796
323,171.44436598176563
324,161.2927348230438
325,148.78852084057536
326,157.5081342711617
327,159.51509451784875
328,163.57126127569703
329,175.85167887701056
330,178.43339073338325
331,166.5187448276067
332,165.72664277318415
333,172.60407023829424
334,171.09100231076783
335,170.39791614004676
336,167.67123176237294
337,178.9742687772319
338,188.84252620187317
339,178.05884255613378
340,192.40789058402896
341,188.68515753498542
342,203.9564474847944
343,196.66015020509533
344,205.70730118151607
345,203.50051082531354
346,204.0648485921405
347,211.68913938422673
348,208.35381086867415
349,212.1551430274885
350,215.93347669735508
351,225.74293436370883
352,236.82146860588736
353,251.4671923982192
354,255.5343978379982
355,260.3459563851119
356,258.55988535772724
357,255.4132060677408
358,248.4778347454361
359,248.92147492111783
360,251.96708750783282
361,254.11227188946248
362,260.03013459590426
363,252.8937286008279
364,266.67340568496365
365,270.8837811238756
366,280.4652907474339
367,285.0445325943592
368,281.3644997296615
369,281.3940513093095
370,261.24113320430297
371,264.775001208322
372,266.41438921202166
373,276.7737980824944
374,267.0564218485185
375,268.6509846350846
376,268.7181309636799
377,262.2824870568806
378,254.40379690053723
379,248.44943828767356
380,257.10991455665214
381,265.84896145642807
382,258.1902625170251
383,259.11565698956207
384,264.3948395110712
385,268.7130168628069
386,260.54391379513015
387,258.534803688081
388,250.84640737307677
389,259.74681862003104
390,279.43885179318187
391,281.32705927891436
392,268.999754026154
393,276.7014392138585
394,289.47737310503686
395,301.8243855067684
396,305.34751386320863
397,311.37825495606495
398,314.50366441163146
399,321.9024994465832
400,330.85992428769623
401,328.3797355785894
402,327.0141854531139
403,327.3002062162157
404,328.3447080676975
405,332.2631184055351
406,342.5065987131127
407,336.3644026794314
408,345.28152648495205
409,346.69534877533596
410,329.9971856108351
411,329.91967625928373
412,330.6958876070759
413,337.0535300965823
414,343.7425979156733
415,346.43863993120766
416,175.2267875459651
417,181.69607650574028
418,177.09836136011427
419,169.02880379789386
